NAME,B01001_001E,B01001_001M,B05012_003E,B05012_003M,B05002_021E,B05002_021M,B16003_001E,B16003_001M,B19013_001E,B19013_001M,B05002_022E,B05002_022M,B05002_023E,B05002_023M,B05002_024E,B05002_024M,B05002_025E,B05002_025M,B05002_026E,B05002_026M,B05002_027E,B05002_027M,state,county,tract,GEOID,foreign_born_rate_e,foreign_born_rate_m,non_cit_foreign_born_rate_e,non_cit_foreign_born_rate_m,europe_origin_rate_e,europe_origin_rate_m,asia_origin_rate_e,asia_origin_rate_m,africa_origin_rate_e,africa_origin_rate_m,oceania_origin_rate_e,oceania_origin_rate_m,latam_origin_rate_e,latam_origin_rate_m,noram_origin_rate_e,noram_origin_rate_m,limited_english_rate_e,limited_english_rate_m,foreign_born_rate_cv,non_cit_foreign_born_rate_cv,europe_origin_rate_cv,asia_origin_rate_cv,africa_origin_rate_cv,oceania_origin_rate_cv,latam_origin_rate_cv,noram_origin_rate_cv,limited_english_rate_cv
"Census Tract 462, Bergen County, New Jersey",3990.0,329.0,1352.0,234.0,294.0,132.0,142.0,105.0,109708.0,23658.0,15.0,20.0,101.0,95.0,0.0,12.0,0.0,12.0,178.0,99.0,0.0,12.0,34,3,46200,34003046200,0.3388471177944862,0.064962070909267,0.0736842105263157,0.0336359897600213,0.0037593984962406,0.005022107259053,0.02531328320802,0.0239008363164075,0.0,0.0030075187969924,0.0,0.0030075187969924,0.0446115288220551,0.0250832246352976,0.0,0.0030075187969924,0.0355889724310776,0.0264789017496836,11.65440652721964,27.75005668434244,81.2085429123473,57.39825869118297,inf,inf,34.17986622548327,inf,45.22916990506351
"Census Tract 3746, Sussex County, New Jersey",3346.0,28.0,196.0,88.0,15.0,22.0,16.0,24.0,95819.0,6237.0,15.0,22.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,34,37,374600,34037374600,0.0585774058577405,0.0263046274985621,0.0044829647340107,0.0065751219631205,0.0044829647340107,0.0065751219631205,0.0,0.0035863717872086,0.0,0.0035863717872086,0.0,0.0035863717872086,0.0,0.0035863717872086,0.0,0.0035863717872086,0.0047818290496114,0.007172855192254,27.298332488737948,89.16051910274041,89.16051910274041,inf,inf,inf,inf,inf,91.18682930578302
"Census Tract 3719, Sussex County, New Jersey",2005.0,213.0,112.0,64.0,14.0,12.0,0.0,12.0,86364.0,3380.0,0.0,12.0,5.0,7.0,0.0,12.0,0.0,12.0,9.0,10.0,0.0,12.0,34,37,371900,34037371900,0.055860349127182,0.0324671364806542,0.0069825436408977,0.0060308307775321,0.0,0.0059850374064837,0.0024937655860349,0.0035013088273737,0.0,0.0059850374064837,0.0,0.0059850374064837,0.0044887780548628,0.0050102759637385,0.0,0.0059850374064837,0.0,0.0059850374064837,35.332505777090674,52.50462748133752,inf,85.3510540897802,inf,inf,67.85277478754293,inf,inf
"Census Tract 3741, Sussex County, New Jersey",3484.0,16.0,463.0,196.0,137.0,113.0,34.0,40.0,140114.0,40231.0,35.0,36.0,0.0,12.0,0.0,12.0,0.0,12.0,102.0,104.0,0.0,12.0,34,37,374100,34037374100,0.1328932261768082,0.0562604859701459,0.0393226176808266,0.0324344866565831,0.0100459242250287,0.0103330536242791,0.0,0.0034443168771526,0.0,0.0034443168771526,0.0,0.0034443168771526,0.0292766934557979,0.029851049057823,0.0,0.0034443168771526,0.0097588978185993,0.0114811437297119,25.73562574198775,50.14165975707665,62.52776174900342,inf,inf,inf,61.98286841734046,inf,71.51851377492632
"Census Tract 3743, Sussex County, New Jersey",3436.0,175.0,400.0,157.0,77.0,57.0,125.0,128.0,105182.0,17582.0,23.0,39.0,7.0,10.0,0.0,12.0,0.0,12.0,26.0,34.0,21.0,26.0,34,37,374300,34037374300,0.1164144353899883,0.0460757465626654,0.0224097788125727,0.0166282745683348,0.0066938300349243,0.011355526387478,0.0020372526193247,0.0029122099182449,0.0,0.0034924330616996,0.0,0.0034924330616996,0.0075669383003492,0.0099027292284466,0.0061117578579743,0.007573338127753,0.0363795110593713,0.037298669188458,24.06022267314869,45.10697621031746,103.1256473301823,86.8984218765914,inf,inf,79.55524346257378,75.32780375440599,62.32618958372852
"Census Tract 3721, Sussex County, New Jersey",1960.0,172.0,226.0,75.0,34.0,32.0,115.0,69.0,76705.0,11676.0,16.0,24.0,11.0,17.0,0.0,12.0,0.0,12.0,7.0,11.0,0.0,12.0,34,37,372100,34037372100,0.1153061224489795,0.0395805729277898,0.0173469387755102,0.0163973456841085,0.0081632653061224,0.0122658350469925,0.0056122448979591,0.0086874409665434,0.0,0.0061224489795918,0.0,0.0061224489795918,0.0035714285714285,0.0056209891744186,0.0,0.0061224489795918,0.0586734693877551,0.0355786241532292,20.867182112184445,57.462538066963766,91.34132481802928,94.09994083683442,inf,inf,95.67641147946628,inf,36.86221928919215
"Census Tract 3733, Sussex County, New Jersey",3155.0,235.0,136.0,58.0,34.0,28.0,0.0,12.0,118047.0,28384.0,8.0,12.0,10.0,15.0,0.0,12.0,0.0,12.0,8.0,15.0,8.0,13.0,34,37,373300,34037373300,0.0431061806656101,0.0186617987232044,0.0107765451664025,0.00891102803405,0.0025356576862123,0.0038081729243568,0.0031695721077654,0.004760216155446,0.0,0.0038034865293185,0.0,0.0038034865293185,0.0025356576862123,0.0047581081085162,0.0025356576862123,0.0041247700370306,0.0,0.0038034865293185,26.317707389464463,50.26692910321435,91.29776273819044,91.2977627381904,inf,inf,114.07166475963994,98.8879138816997,inf
"Census Tract 3739, Sussex County, New Jersey",3911.0,21.0,61.0,53.0,14.0,25.0,0.0,12.0,99318.0,16568.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,14.0,25.0,0.0,12.0,34,37,373900,34037373900,0.0155970340066479,0.0135517801265175,0.0035796471490667,0.0063922559494018,0.0,0.0030682689849143,0.0,0.0030682689849143,0.0,0.0030682689849143,0.0,0.0030682689849143,0.0035796471490667,0.0063922559494018,0.0,0.0030682689849143,0.0,0.0030682689849143,52.81878725876752,108.55455066483144,inf,inf,inf,inf,108.55455066483144,inf,inf
"Census Tract 3742, Sussex County, New Jersey",2281.0,131.0,183.0,79.0,63.0,52.0,55.0,63.0,96641.0,17440.0,0.0,12.0,18.0,28.0,0.0,12.0,0.0,12.0,45.0,45.0,0.0,12.0,34,37,374200,34037374200,0.0802279701885138,0.0349390750923435,0.0276194651468654,0.0228521363885954,0.0,0.0052608505041648,0.0078912757562472,0.0122836811069291,0.0,0.0052608505041648,0.0,0.0052608505041648,0.0197281893906181,0.0197606974905257,0.0,0.0052608505041648,0.0241122314774221,0.0276541587087949,26.474008100598173,50.29741217000644,inf,94.6270739780665,inf,inf,60.89044373642596,inf,69.71996243687347
"Census Tract 3731, Sussex County, New Jersey",6007.0,288.0,755.0,250.0,215.0,101.0,83.0,85.0,159286.0,19696.0,62.0,55.0,46.0,66.0,10.0,17.0,0.0,17.0,97.0,61.0,0.0,17.0,34,37,373100,34037373100,0.1256866988513401,0.0420520999621454,0.0357915764940902,0.0169010569122906,0.0103212918262027,0.0091693471310405,0.0076577326452472,0.0109933140518615,0.0016647244880972,0.0028311568740911,0.0,0.0028300316297652,0.016147827534543,0.0101842884194237,0.0,0.0028300316297652,0.0138172132512069,0.014165656359987,20.33913440066085,28.70563338435853,54.005557619531785,87.2695090650622,103.38455527456205,inf,38.33987436811245,inf,62.323285424574
